ID,kindom,phylum,class,order,family,genus,species
OTU6161,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,,
OTU6162,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Phyllobacterium,
OTU6163,Bacteria,Acidobacteria,[Chloracidobacteria],RB41,Ellin6075,,
OTU6164,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,[Weeksellaceae],Chryseobacterium,
OTU6165,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
OTU6166,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Methylibium,
OTU6167,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,,
OTU6168,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rubrivivax,
OTU6169,Bacteria,Planctomycetes,,,,,
OTU6170,Bacteria,Chloroflexi,TK17,mle1-48,,,
OTU6171,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Saprospiraceae,,
OTU6172,Bacteria,Planctomycetes,Phycisphaerae,WD2101,,,
OTU6173,Bacteria,Chloroflexi,Anaerolineae,H39,,,
OTU6174,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
OTU6175,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,,
OTU6176,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,,
OTU6177,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,,
OTU6178,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
OTU6179,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Paludibacter,
OTU6180,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
OTU6181,Bacteria,Planctomycetes,Phycisphaerae,WD2101,,,
OTU6182,Bacteria,Chlorobi,BSV26,C20,,,
OTU6183,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU6184,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,,
OTU6185,Bacteria,Chloroflexi,C0119,,,,
OTU6186,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,,
OTU6187,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,,
OTU6188,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,,
OTU6189,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
OTU6190,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
OTU6191,Bacteria,Chloroflexi,Anaerolineae,S0208,,,
OTU6192,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Saprospiraceae,,
OTU6193,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,,
OTU6194,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,
OTU6195,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,,
OTU6196,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,,
OTU6197,Bacteria,WS3,PRR-12,Sediment-1,,,
OTU6198,Bacteria,Acidobacteria,[Chloracidobacteria],RB41,,,
OTU6199,Bacteria,Acidobacteria,Solibacteres,Solibacterales,,,
OTU6200,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Phyllobacterium,
OTU6201,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,,
OTU6202,Bacteria,TM7,TM7-1,,,,
OTU6203,Bacteria,Proteobacteria,Betaproteobacteria,SC-I-84,,,
OTU6204,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,
OTU6205,Bacteria,Chloroflexi,S085,,,,
OTU6206,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
OTU6207,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,,,
OTU6208,Bacteria,Acidobacteria,Solibacteres,Solibacterales,,,
OTU6209,Bacteria,Proteobacteria,Betaproteobacteria,Ellin6067,,,
OTU6210,Bacteria,Acidobacteria,Solibacteres,Solibacterales,,,
OTU6211,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,,
OTU6212,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,,,
OTU6213,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Ellin5290,,,
OTU6214,Bacteria,Elusimicrobia,Elusimicrobia,Elusimicrobiales,,,
