ID,M-1,M-2,M-3,M-4,M-5,M-6,M-7,M-8,M-9,M-10,M-11,M-12,M-13,G-1,G-2,G-3,G-4,G-5,G-6,G-7,G-8,G-9,G-10,G-11,G-12,G-13,G-14,G-15,G-16,G-19,G-20,G-21,G-22,G-23,G-24,G-25
OTU6093,60,30,7,16,10,15,88,59,24,6,0,5,2,27,4,4,11,12,23,27,12,15,30,26,5,13,43,21,12,4,8,16,53,16,17,15
OTU6094,172,52,0,0,0,0,73,205,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU6095,0,0,1,0,2,0,0,0,0,0,0,0,2,0,1,1,0,0,2,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0
OTU6096,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
OTU6097,0,0,0,0,0,0,0,0,7,5,1,4,11,2,7,2,0,1,0,0,0,0,0,0,4,0,0,0,0,0,3,0,1,0,1,1
OTU6098,0,0,0,0,0,0,0,0,2,2,0,1,0,3,1,0,3,0,0,1,0,1,2,6,0,0,0,1,0,0,0,1,7,0,0,2
OTU6099,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
OTU6100,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU6101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
OTU6102,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU6103,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,1,0,2,1,0,4,0,1,1,0,1,0,0,0,0,0
OTU6104,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
OTU6105,0,4,7,1,0,0,0,0,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
OTU6106,1,25,7,1,19,11,15,5,16,1,2,0,23,10,5,5,6,17,10,12,4,4,13,9,1,24,5,11,12,1,3,4,23,6,17,11
OTU6107,2,4,0,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,8,0,2,0,0,0,0,0
OTU6108,0,0,0,2,0,0,0,0,0,1,2,2,0,0,0,1,0,1,1,1,0,1,1,1,2,1,0,0,1,0,2,4,0,0,0,2
OTU6109,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU6110,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
OTU6111,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU6112,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,2,5,0,0,0,0
OTU6113,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU6114,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU6115,4,16,17,2,5,11,21,9,39,0,0,0,8,11,28,7,10,18,17,2,16,2,11,5,1,7,10,17,21,0,2,0,46,24,30,9
OTU6116,0,1,0,0,0,0,57,38,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU6117,0,37,33,1,167,52,1,0,8,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
OTU6118,0,3,0,0,0,0,0,3,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
OTU6119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
OTU6120,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OTU6121,0,18,4,0,3,1,14,8,6,0,0,0,2,3,0,0,5,0,0,0,0,0,1,1,0,2,0,1,0,0,0,1,1,0,0,1
OTU6122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
OTU6123,2,1,0,1,0,0,2,0,0,1,0,1,1,1,0,0,3,0,0,0,0,0,2,4,0,0,0,1,0,0,0,1,1,0,1,6
OTU6124,0,0,0,2,0,1,0,0,0,0,0,4,0,2,0,0,1,2,2,0,0,0,1,1,5,0,1,3,0,2,1,3,0,3,2,5
OTU6125,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,4,4,2,1,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0
OTU6126,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,1,3,0,0,1,0,2,2,0,0,0,1,2,0,0,1,3,0,1,0
OTU6127,0,86,8,1,2,3,86,16,33,0,0,0,6,5,0,0,0,0,0,0,1,0,0,1,0,18,0,1,0,0,0,0,11,0,0,3
OTU6128,4,9,2,5,2,4,14,7,17,3,3,3,2,1,0,1,3,6,2,4,3,0,1,3,7,6,0,6,2,3,2,1,14,1,7,8
OTU6129,6,1,1,0,0,0,1,0,0,1,0,1,0,2,0,2,4,3,0,5,0,1,9,4,5,17,1,0,0,2,1,3,2,1,5,2
OTU6130,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,1,1,0,1,0,1,3
OTU6131,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
OTU6132,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU6133,1,3,1,1,2,3,1,0,8,2,2,0,1,0,0,0,2,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,10,0,0,0
OTU6134,1,0,1,3,0,0,0,0,0,1,1,1,0,2,1,1,0,3,5,2,1,0,0,0,2,0,1,0,2,1,1,3,3,0,0,1
OTU6135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OTU6136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OTU6137,0,25,0,4,0,0,2,5,2,3,2,0,1,6,2,3,3,4,6,5,2,4,6,14,1,2,17,5,1,0,1,3,8,6,1,1
OTU6138,5,0,0,0,0,0,0,0,0,1,3,1,0,2,0,2,3,2,0,0,1,0,4,1,13,3,1,0,6,3,2,1,7,3,2,6
OTU6139,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU6140,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OTU6141,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,4
OTU6142,3,0,0,1,1,0,1,0,0,0,0,2,0,2,0,1,0,1,2,0,1,0,0,0,2,2,0,2,0,1,0,0,3,1,2,4
